location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,மேற்கோள்,,False,,,
,Gramps,,,False,,,
,place,இடம்,,False,,,
,places,இடங்கள்,,False,,,
,Events,நிகழ்வுகள்,,False,,,
,bug,பிழை,,False,,,
,Gramplet,,,False,,,
,debug,பிழைத்திருத்தம்,,False,,,
,bugs,பிழைகள்,,False,,,
,Default,இயல்புநிலை,,False,,,
,Default,இயல்புநிலை,,False,1,,
,border,எல்லை,,False,,,
,Try to find,கண்டுபிடிக்க முயற்சி செய்யுங்கள்,,False,,,
,relation,உறவு,,False,,,
,Gramps Web,,,False,,,
,REFN,Refn,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,அடிப்படை உறவினர் ஊடக பாதை,,False,,,
,Delimiter,பிரிப்பான்,,False,,,
,funeral,இறுதி சடங்கு,,False,,,
,burial,அடக்கம்,,False,,,
,addon,addon,,False,,,
,plugin,சொருகு,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,நிசான்,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,வம்சாவளி,,False,,,
,project,திட்டம்,,False,A project object within Gramps,,
,Repository,களஞ்சியம்,,False,,,
,Person,ஆள்,,False,"A ""person"" record within Gramps",,
