location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,idézet,,False,,,
,Gramps,Gramps,,False,,,
,place,hely,,False,,,
,places,helyek,,False,,,
,Events,Események,,False,,,
,bug,hiba,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,hibakeresés,,False,,,
,bugs,hibák,,False,,,
,Default,alapértelmezett,,False,,,
,Default,alapértelmezett,,False,1,,
,border,határ,,False,,,
,Try to find,Próbáld megtalálni,,False,,,
,relation,kapcsolat,,False,,,
,Gramps Web,,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,a médiafájl relatív útvonala,,False,,,
,Delimiter,Határoló,,False,,,
,funeral,temetés,,False,,,
,burial,temetés,,False,,,
,addon,kiegészítő,,False,,,
,plugin,beépülő,,False,,,
,substring,részsztring,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Származás,,False,,,
,project,projekt,,False,A project object within Gramps,,
,Repository,Tároló,,False,,,
,Person,Személy,,False,"A ""person"" record within Gramps",,
,Settings,Beállítások,,False,,,
