location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,citation,,False,,,
,Gramps,Gramps,,False,,,
,citation,citation,,False,1,,
,place,place,,False,,,
,places,places,,False,,,
,Events,Events,,False,,,
,bug,bug,,False,,,
,Gramplet,Gramplet,,False,,,
,show,show,,False,,,
,debug,debug,,False,,,
,colors,colors,,False,,,
,bugs,bugs,,False,,,
,Tag,Tag,,False,,,
,places,places,,False,2,,
,places,places,,False,1,,
,years,years,,False,,,
,View,View,,False,,,
,background,background,,False,,,
,backlink,backlink,,False,,,
,Default,Default,,False,,,
,Default,Default,,False,1,,
,i.e,i.e,,False,,,
,month,month,,False,,,
,People,People,,False,,,
,border,border,,False,,As in?,
,Python,Python,,False,,,
,Surname,Surname,,False,,,
,months,months,,False,,,
,reference,reference,,False,,,"בלשנות (תשפ""ג, 2022) אזכור לא: רִפְרוּר reference מילון תחביר [בלשנות]"
,individual,individual,,False,,,
,sibling,sibling,,False,,,
,Given,Given,,False,,,
,days,days,,False,,,
,Try to find,Try to find,,False,,,
,surname,surname,,False,,,
,siblings,siblings,,False,,,
,person,person,,False,,,
,Passover,Passover,,False,,,"Pascua (en hebreo פסח, 'salto') es una festividad judía que conmemora la liberación del pueblo hebreo de la esclavitud de Egipto, relatada en el Pentateuco"
,hide,hide,,False,,,
,Canada,Canada,,False,,,
,spouse,spouse,,False,,,
,Blog,Blog,,False,,,
,France,France,,False,,,
,tag,tag,,False,,,
,families,families,,False,,,
,general,general,,False,,,
,urls,urls,,False,,,
,Germany,Germany,,False,,,
,Post,Post,,False,,,
,Italy,Italy,,False,,,
,remove,remove,,False,remove a reference,,
,URL,URL,,False,,,
,source,source,,False,,,
,generation,generation,,False,,,
,"Manage genealogical information, perform genealogical research and analysis","Manage genealogical information, perform genealogical research and analysis",,False,,,
,Whether,Whether,,False,,,
,about,about,,False,,,
,repository,repository,,False,,,
,Catalonia,Catalonia,,False,,,
,age,age,,False,,,
,ID,ID,,False,,,
,home,home,,False,"As in ""home person"" or ""home page""",,
,China,China,,False,,,
,unrecognized,unrecognized,,False,,,
,average,average,,False,,,
,Croatia,Croatia,,False,,,
,Please...,Please...,,False,,,
,descendant,descendant,,False,,,
,Finland,Finland,,False,,,
,call name,call name,,False,,,
,genealogical,genealogical,,False,,,
,organized,organized,,False,,,
,ancestor,ancestor,,False,,,
,Choose font,Choose font,,False,,,
,Japan,Japan,,False,,,
,Not_Related,Not_Related,,False,,,
,Turkey,Turkey,,False,,,
,United States of America,United States of America,,False,,,
,organize,organize,,False,,,
,Verify_the_Data,Verify_the_Data,,False,,,
,Ukraine,Ukraine,,False,,,
,regular expressions,regular expressions,,False,,,
,Find_Possible_Duplicate_People,Find_Possible_Duplicate_People,,False,,,
,relation,relation,,False,,,
,Edit_Database_Owner_Information,Edit_Database_Owner_Information,,False,,,
,neighborhood,neighborhood,,False,,,
,Emigration,Emigration,,False,,,Emigrate ve Immigrate kelimeleri Türkçeye göç olarak çevirmektense emigrate kelimesi göç immagrate kelimesi ise taşınma anlamında çevrilmiştir.
,Gramps Web,Gramps Web,,False,,,
,event,event,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,base relative media path,,False,,,
,Pedigree View,Pedigree View,,False,,,
,level,level,,False,,,
,name,name,,False,,,
,bugs,bugs,,False,1,,
,maximized,maximized,,False,,,
,log,log,,False,,,
,Editing_dates,Editing_dates,,False,,,
,places,places,,False,3,,
,Volume/Page,Volume/Page,,False,,,
,Canada,Canada,,False,1,,
,bug,bug,,False,1,,
,coloring,coloring,,False,,,
,volume,volume,,False,,,
,Kislev,Kislev,,False,,,"El nombre otorgado al mes de Kislev en la Biblia es simplemente «el mes noveno», siguiendo la numeración ordinal, al igual que el resto de los meses del año"
,Chile,Chile,,False,,,
,page,page,,False,,,"ספרנות (תשס""ד, 2003) דַּף leaf, folio מילון ספרנות"
,China,China,,False,1,,
,Safar,Safar,,False,,,"Safar (en árabe: صفر ṣafar) es el segundo mes del calendario islámico, consta de 29 días."
,Muharram,Muharram,,False,,,"Muḥarram (en árabe: المحرم al-muḥarram) es el primer mes del calendario islámico, consta de 30 días."
,colored,colored,,False,,,
,Family_Editor_dialog,Family_Editor_dialog,,False,,,
,Purim,Purim,,False,,,
,Czech Republic,Czech Republic,,False,,,
,Link_Editor,Link_Editor,,False,,,
