location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,引用,,False,,,
,Gramps,,,False,,,
,place,場所,,False,,,
,places,場所,,False,,,
,Events,イベント,,False,,,
,bug,バグ,,False,,,
,Gramplet,,,False,,,
,debug,デバッグ,,False,,,
,bugs,バグ,,False,,,
,Default,既定,,False,,,
,Default,既定,,False,1,,
,border,境界,,False,,,
,Try to find,検索の試行,,False,,,
,relation,関係,,False,,,
,Gramps Web,,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,ベース相対メディアパス,,False,,,
,Delimiter,区切り文字,,False,,,
,funeral,葬儀,,False,,,
,burial,埋葬,,False,,,
,addon,アドオン,,False,,,
,plugin,プラグイン,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,祖先,,False,,,
,project,プロジェクト,,False,A project object within Gramps,,
,Repository,リポジトリ,,False,,,
,Person,人,,False,"A ""person"" record within Gramps",,
