location,source,target,id,fuzzy,context,translator_comments,developer_comments
,EnglishExonym,English,,no,language,"language name in english",Gramps_Glossary/en
,endonym,English Rev1,,no,language,"language name in native tongue",Gramps_Glossary/en
,language code,en,,no,language,"language code in ISO 639 standard",https://hosted.weblate.org/projects/gramps-project/-/en/
,translators,translators,,yes,language,"lead translator for GUI",Portal:Translators#en
,translations,translations,,yes,language,"status of wiki translation",User_manual_translations#en
,documentation,documentation,,yes,language,"translated wiki page index",Category:En:Documentation
,citation,citation,,False,,,
,citation,citation,,False,1,,
,Gramps,Gramps,,False,,,
,place,place,,False,,,
,places,places,,False,,,
,Events,Events,,False,,,
,bug,bug,,False,,,
,Gramplet,Gramplet,,False,,,
,show,show,,False,,,
,debug,debug,,False,,,
,bugs,bugs,,False,,,
,colors,colors,,False,,,
,places,places,,False,2,,
,Tag,Tag,,False,,,
,Default,Default,,False,,,
,View,View,,False,,,
,Default,Default,,False,1,,
,places,places,,False,1,,
,years,years,,False,,,
,border,border,,False,,As in?,
,background,background,,False,,,
,backlink,backlink,,False,,,
,Try to find,Try to find,,False,,,
,People,People,,False,,,
,i.e,i.e,,False,,,
,month,month,,False,,,
,relation,relation,,False,,,
,Surname,Surname,,False,,,
,Python,Python,,False,,,
,reference,reference,,False,,,"בלשנות (תשפ""ג, 2022) אזכור לא: רִפְרוּר reference מילון תחביר [בלשנות]"
,months,months,,False,,,
,sibling,sibling,,False,,,
,Gramps Web,Gramps Web,,False,,,
,individual,individual,,False,,,
,days,days,,False,,,
,Given,Given,,False,,,
,surname,surname,,False,,,
,siblings,siblings,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,Passover,Passover,,False,,,"Pascua (en hebreo פסח, 'salto') es una festividad judía que conmemora la liberación del pueblo hebreo de la esclavitud de Egipto, relatada en el Pentateuco"
,Canada,Canada,,False,,,
,base relative media path,base relative media path,,False,,,
,hide,hide,,False,,,
,spouse,spouse,,False,,,
,Blog,Blog,,False,,,
,Delimiter,Delimiter,,False,,,
,France,France,,False,,,
,families,families,,False,,,
,Post,Post,,False,,,
,funeral,funeral,,False,,,
,general,general,,False,,,
,urls,urls,,False,,,
,Germany,Germany,,False,,,
,URL,URL,,False,,,
,generation,generation,,False,,,
,remove,remove,,False,remove a reference,,
,burial,burial,,False,,,
