location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Default,پیش‌فرض,,False,1,,
,REFN,منبع,,False,,Suggested in Weblate: چارت وراثت,A GEDCOM tag used to store a user-defined identifier.
,relation,رابطه,,False,,,
,place,مکان,,False,,,
,debug,دیباگ,,True,,,
,citation,,,False,,,
,base relative media path,آدرس مرتبط رسانه ی پایه,,False,,,
,places,مکان ها,,False,,,
,bug,باگ,,False,,,
,Events,رویدادها,,False,,,
,bugs,باگ ها,,False,,,
,Gramps Web,,,False,,,
,Gramps,,,False,,,
,Try to find,تلاش برای پیدا کردن,,False,,,
,Default,پیش‌فرض,,False,,,
,Gramplet,,,False,,,
,border,مرز,,False,,,
,Delimiter,جداکننده,,False,,,
,funeral,تشییع جنازه,,True,,,
,burial,دفن,,False,,,
,addon,افزونه,,False,,,
,plugin,افزونه,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,نسب,,False,,,
,project,پروژه,,False,A project object within Gramps,,
,Repository,مخزن,,False,,,
,Person,شخص,,False,"A ""person"" record within Gramps",,
