location,source,target,id,fuzzy,context,translator_comments,developer_comments
,bugs,bugs,,False,,,
,debug,debug,,False,,,
,place,tempat,,False,,,
,bug,bug,,False,,,
,citation,kutipan,,False,,,
,Gramps,,,False,,,
,Events,Peristiwa,,False,,,
,places,tempat-tempat,,False,,,
,Gramplet,Gramplet,,False,,,
,Default,Bawaan,,False,,,
,Default,Bawaan,,False,1,,
,border,batas,,False,,,
,Try to find,Coba temukan,,False,,,
,relation,hubungan,,False,,,
,Gramps Web,Web Gramps,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,base relative media path,,False,,,
,Delimiter,Pembatas,,False,,,
,funeral,pemakaman,,False,,,
,burial,penguburan,,False,,,
,creamation,kremasi,,False,,,
,addon,tambahan,,False,,,
,plugin,tambahan,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Leluhur,,False,,,
,project,proyek,,False,A project object within Gramps,,
,Repository,Repositori,,False,,,
,Person,Orang,,False,"A ""person"" record within Gramps",,
,Pedigree View,Tampilan Silsilah,,False,,,
