location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,cita,,False,,,
,Gramps,Gramps,,False,,,
,place,lloc,,False,,,
,places,llocs,,False,,,
,Events,Esdeveniments,,False,,,
,bug,error,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,depurar,,False,,,
,bugs,errors,,False,,,
,Default,Predeterminat,,False,,,
,border,vora,,False,,,
,Try to find,Provar de trobar,,False,,,
,nickname,sobrenom,,False,,,
,Surname,Cognom,,False,,,
,Given,Nom,,False,,,
,relation,relació,,False,,,
,Gramps Web,Gramps Web,,False,,,
,Blog,Bloc,,False,,,
,Post,publicació,,False,,,
,Default,Per defecte,,False,1,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,camí relatiu als mitjans,,False,,,
,Delimiter,Delimitador,,False,,,
,funeral,funeral,,False,,,
,burial,enterrament,,False,,,
,addon,complement,,False,,,
,plugin,connector,,False,,,
,substring,subcadena,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tixrí,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Avantpassats,,False,,,
,project,projecte,,False,A project object within Gramps,,
,Repository,Dipòsit,,False,,,
,Person,Persona,,False,"A ""person"" record within Gramps",,
,Welcome,Us donem la benvinguda,,False,,,
,Set,Establir,,False,,,
,Save,Desar,,False,,,
,Edit,Edita,,False,,,
,Delete,Suprimeix,,False,,,
,To start,Per començar,,False,,,
,Select,Selecciona,,False,,,
,Full Name,Nom complet,,False,,,
,eg.,p. ex.,,False,,,
,Hide,Amagar,,False,,,
,Unhide,Mostrar,,False,,,
,Show,Mostrar,,False,,,
,Add,Afegir,,False,,,
,Please,no es tradueix,,False,,,
,parent,progenitor,,False,,,
,family,família,,False,,,
,Parent Family,Família dels pares,,False,,,
,Parents,Progenitors,,False,,,
,birth,naixement,,False,,,
,event,esdeveniment,,False,,,
,family event,esdeveniment familiar,,False,,,
,Bookmark,Punt d'interès,,False,,,
,set,parella,,False,,,
