location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Default,Pēc noklusējuma,,False,1,,
,Stamen,Putekšņlapa,,False,,,
,Gramplet,,,False,,,
,border,robeža,,False,,,
,Ancestry,Senči,,False,,,
,Gramps,,,False,,,
,Try to find,Mēģināt atrast,,False,,,
,Default,Pēc noklusējuma,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,Elul,,,False,,,
,relation,attiecības,,False,,,
,place,vieta,,False,,,
,addon,papildin,,False,,,
,debug,atkļūdošana,,False,,,
,burial,apbedīšana,,False,,,
,Delimiter,Norobežotājs,,False,,,
,citation,citāts,,False,,,
,base relative media path,bāzes relatīvais multivides ceļš,,False,,,
,funeral,bēres,,False,,,
,Tishri,,,False,,,
,places,vietas,,False,,,
,bug,kļūda,,False,,,
,Events,Notikumi,,False,,,
,bugs,kļūdas,,False,,,
,substring,apakšvirkne,,False,,,
,Gramps Web,,,False,,,
,plugin,spraudnis,,False,,,
,Nisan,Nisan,,False,,,
,project,projekts,,False,A project object within Gramps,,
,Repository,Krātuve,,False,,,
,Person,Persona,,False,"A ""person"" record within Gramps",,
