location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,引用,,False,,,
,Gramps,,,False,,,
,place,地點,,False,,,
,places,地點,,False,,,
,Events,事件,,False,,,
,bug,錯誤,,False,,,
,Gramplet,,,False,,,
,debug,偵錯,,False,,,
,bugs,錯誤,,False,,,
,Default,預設,,False,,,
,Default,預設,,False,1,,
,border,邊界,,False,,,
,Try to find,嘗試尋找,,False,,,
,relation,關係,,False,,,
,Gramps Web,,,False,,,
,REFN,REFN標籤,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,媒體基礎相對路徑,,False,,,
,Delimiter,分隔符號,,False,,,
,funeral,喪禮,,False,,,
,burial,下葬,,False,,,
,addon,外掛程式,,False,,,
,plugin,外掛程式,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,尼散月,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,祖先,,False,,,
,project,項目,,False,A project object within Gramps,,
,Repository,文庫,,False,,,
,attribute,屬性,,False,,,
,not found,無法找到,,False,,,
,Person,成員,,False,"A ""person"" record within Gramps",,
,database,資料庫,,False,,,
,people,成員,,False,"If people is referring multiple of ""person"" record",,
,families,家庭,,False,"Gramps ""Family"" record",,
,family,家庭,,False,"Gramps ""Family"" record",,
,Tag,標籤,,False,,,
,Event,事件,,False,,,
,Relationship,關係,,False,,,"טכנולוגיית המידע (תשס""ז, 2007) יוחסה relationship, relation מילון מושגים בסיסיים בטכנולוגיית המידע (תשס""ג, 2002)"
