location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,cytat,,False,,,
,Gramps,Gramps,,False,,,
,place,miejsce,,False,,,
,places,miejsca,,False,,,
,Events,Wydarzenia,,False,,,
,bug,błąd,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,usuwanie błędów,,False,,,
,bugs,błędy,,False,,,
,Purim,Purim,,False,,,
,Passover,Pesach,,False,,,"Pascua (en hebreo פסח, 'salto') es una festividad judía que conmemora la liberación del pueblo hebreo de la esclavitud de Egipto, relatada en el Pentateuco"
,Default,Domyślny,,False,,,
,Default,Domyślny,,False,1,,
,border,ramka,,False,,,
,Try to find,Spróbuj znaleźć,,False,,,
,relation,relacja,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,podstawowa względna ścieżka mediów,,False,,,
,Delimiter,Separator,,False,,,
,funeral,pogrzeb,,False,,,
,burial,pochówek,,False,,,
,addon,dodatek,,False,,,
,plugin,wtyczka,,False,,,
,substring,Teilzeichenfolge,,False,,,
,repository,repozytorium,,False,,,
,Repositories,Repozytoria,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Pochodzenie,,False,,,
,project,projekt,,False,A project object within Gramps,,
,Repository,repozytorium,,False,,,
,Person,osoba,,False,"A ""person"" record within Gramps",,
,sibling,rodzeństwo,,False,,,
,generation,pokolenie,,False,,,
,Nick Name,Pseudonim,,False,,,
