location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,цитат,,False,,,
,Gramps,,,False,,,
,place,место,,False,,,
,places,места,,False,,,
,Events,Догађаји,,False,,,
,bug,грешка,,False,,,
,Gramplet,Гремплет,,False,,,
,debug,отклањање грешака,,False,,,
,bugs,грешке,,False,,,
,Default,Подразумевано,,False,,,
,Default,Подразумевано,,False,1,,
,border,ивица,,False,,,
,Try to find,Покушај пронаћи,,False,,,
,relation,сродство,,False,,,
,Gramps Web,Гремпс Веб,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,основна путања за медије,,False,,,
,Delimiter,Граничник,,False,,,
,funeral,сахрана,,False,,,
,burial,сахрана,,False,,,
,addon,додатак,,False,,,
,plugin,додатак,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Преци,,False,,,
,project,,,False,A project object within Gramps,,
,Repository,,,False,,,
,Person,,,False,"A ""person"" record within Gramps",,
