location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,цитування,,False,,,
,Gramps,Gramps,,False,,,
,place,місце,,False,,,
,places,місця,,False,,,
,Events,Події,,False,,,
,bug,вада,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,налагодження,,False,,,
,bugs,вади,,False,,,
,Default,За замовчуванням,,False,,,
,Default,За замовчуванням,,False,1,,
,border,кордон,,False,,,
,Try to find,Спробувати знайти,,False,,,
,relation,відношення,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,базовий відносний медіашлях,,False,,,
,Delimiter,Роздільник,,False,,,
,funeral,похорон,,False,,,
,burial,поховання,,False,,,
,addon,додаток,,False,,,
,plugin,додаток,,False,,,
,substring,підрядок,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Ancestry,,False,,,
,Family Tree,Сімейне Дерево,,False,,,
,database,база даних,,False,,,
,given name,особисте ім'я,,False,,,
,Gregorian calendar,григоріанський календар,,False,,,
,icon,піктограма,,False,,,
,toolbar,панель інструментів,,False,,,
,view,подання,,False,,,
,project,проєкт,,False,,,
,Home Person.,Початкова Особа.,,False,,,
,Edit,Редагування,,False,,,
,сolumn,стовпчик,,False,,,
,app,застосунок,,False,,,
,Google Maps,Карти Google,,False,,,
,ID,ідентифікатор,,False,,,
,Surname,Прізвище,,False,,,
,Nickname,Прізвисько,,False,,,
,Addon,Додаток,,False,,,
,tag,мітка,,False,,,
,project,проєкт,,False,A project object within Gramps,,
,Repository,Сховище,,False,,,
,Person,Особа,,False,"A ""person"" record within Gramps",,
