location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,цитирование,,False,,,
,Gramps,Gramps,,False,,,
,place,место,,False,,,
,places,места,,False,,,
,Events,События,,False,,,
,bug,ошибка,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,отладка,,False,,,
,bugs,ошибки,,False,,,
,Default,По умолчанию,,False,,,
,border,граница,,False,,,
,Try to find,Попробовать найти,,False,,,
,People,Люди,,False,,,
,relation,отношение,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,True,,Suggested in Weblate: Номер референса,A GEDCOM tag used to store a user-defined identifier.
,Default,По умолчанию,,False,1,,
,base relative media path,относительный путь к медиафайлу,,False,,,
,Delimiter,Разделитель,,False,,,
,funeral,похороны,,True,,,
,burial,захоронение,,True,,,
,addon,расширение,,True,,,
,plugin,плагин,,True,,,
,substring,подстрока,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Родословная,,False,,,
,project,проект,,False,A project object within Gramps,,
,Repository,Репозиторий,,False,,,
,Person,Лицо,,False,"A ""person"" record within Gramps",,
,Multiple birth,Многоплодная беременность,,False,,,Useita syntymäaikoja
,Forename,Псевдоним,,False,,,Etunimi
