location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,اقتباس,,False,,,
,Gramps,,,False,,,
,place,مكان,,False,,,
,places,أماكن,,False,,,
,Events,أحداث,,False,,,
,bug,خطأ في النظام,,False,,,
,Gramplet,,,False,,,
,debug,تحليل أخطاء النظام,,False,,,
,bugs,أخطاء في النظام,,False,,,
,Default,القيمة الافتراضية,,False,,,
,Default,القيمة الافتراضية,,False,1,,
,border,حد‮‮,,False,,,
,Try to find,محاولة إيجاد,,False,,,
,relation,علاقة,,False,,,
,Gramps Web,,,False,,,
,REFN,,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,,,False,,,
,Delimiter,فاصل,,False,,,
,funeral,جنازة,,False,,,
,burial,قبر,,False,,,
,addon,إضافة,,False,,,
,plugin,إضافة مساعدة,,False,,,
,substring,سلسلة فرعية,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,السلالة,,False,,,
,project,مشروع,,False,A project object within Gramps,,
,Repository,مستودع,,False,,,
,Person,شخص,,False,"A ""person"" record within Gramps",,
