location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,sitat,,False,,,
,Gramps,Gramps,,False,,,
,place,sted,,False,,,
,places,steder,,False,,,
,Events,Hendelser,,False,,,
,bug,feil,,False,,,
,Gramplet,Smågramps,,False,,,
,debug,feilsøk,,False,,,
,bugs,feil,,False,,,
,Default,Standard,,False,,,
,Default,Standard,,False,1,,
,border,kantlinje,,False,,,
,Try to find,Forsøk å finne,,False,,,
,relation,relasjon,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,relativ standardsti for medier,,False,,,
,Delimiter,Skilletegn,,False,,,
,funeral,gravferd,,False,,,
,burial,begravelse,,False,,,
,addon,utvidelse,,False,,,
,plugin,utvidelse,,False,,,
,substring,delstreng,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Aner,,False,,,
,project,prosjekt,,False,A project object within Gramps,,
,Repository,Arkiv,,False,,,
,Person,Person,,False,"A ""person"" record within Gramps",,
,Inverse,Invertert,,False,"Eks. verdier som ikke matcher et gitt filter, snur om på en liste eller filtrering.",,
,ancestors,aner,,False,,,
,Web site,Nettsted,,False,,,
,web page,nettside,,False,,,
,path,sti,,False,,,
