location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,citazione,,False,,,
,Gramps,Gramps,,False,,,
,place,luogo,,False,,,
,places,luoghi,,False,,,
,Events,Eventi,,False,,,
,bug,bug,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,debug,,False,,,
,bugs,bug,,False,,,
,Default,Predefinito,,False,,,
,Default,Predefinito,,False,1,,
,border,bordo,,False,,,
,Try to find,Prova a cercare,,False,,,
,relation,relazione,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,percorso base relativo dei media,,False,,,
,Delimiter,Delimitatore,,False,,,
,funeral,funerale,,False,,,
,burial,sepoltura,,False,,,
,addon,componente aggiuntivo,,False,,,
,plugin,plugin,,False,,,
,substring,sottostringa,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Ascendenza,,False,,,
,project,Progetto,,False,A project object within Gramps,Suggested in Weblate: progetto,
,Repository,Archivio documentale,,False,,,
,Person,Persona,,False,"A ""person"" record within Gramps",Suggested in Weblate: persona,
,All Families,Tutte le famiglie,,False,,,
