location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,цитат,,False,,,
,Gramps,,,False,,,
,place,место,,False,,,
,places,места,,False,,,
,Events,настани,,False,,,
,bug,грешка,,False,,,
,Gramplet,,,False,,,
,debug,исправка на грешки,,False,,,
,bugs,грешки,,False,,,
,Default,зададено,,False,,,
,Default,зададено,,False,1,,
,border,граница,,False,,,
,Try to find,Пробај да најдеш,,False,,,
,relation,сродство,,False,,,
,Gramps Web,,,False,,,
,REFN,референтен број,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,основна патека за медии,,False,,,
,Delimiter,граничник,,False,,,
,funeral,погреб,,False,,,
,burial,погреб,,False,,,
,addon,додаток,,False,,,
,plugin,додаток,,False,,,
,substring,подниза,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Родослов,,False,,,
,project,проект,,False,A project object within Gramps,,
,Repository,Склад,,False,,,
,Person,Лице,,False,"A ""person"" record within Gramps",,
,relationship,однос,,False,"A relationship between persons (not a general one, for a general one uses: врска i.e. connection)",,
