location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,citação,,False,,Suggested in Weblate: Citação,
,Gramps,,,False,,,
,place,lugar,,False,,Suggested in Weblate: local,
,places,lugares,,False,,Suggested in Weblate: locais,
,Events,Eventos,,False,,,
,bug,erro,,False,,Suggested in Weblate: Problema,
,Gramplet,Gramplet,,False,,,
,debug,depurar,,False,,,
,bugs,erros,,False,,Suggested in Weblate: bugs,
,Default,Padrão,,False,,,
,Default,Padrão,,False,1,,
,border,borda,,False,,,
,Try to find,Tente encontrar,,False,,,
,relation,relação,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,,,False,,Suggested in Weblate: REFN,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,caminho de mídia relativo à base,,True,,,
,Delimiter,Delimitador,,False,,,
,funeral,funeral,,False,,,
,burial,enterro,,False,,,
,addon,complemento,,False,,,
,plugin,plugin,,False,,,
,substring,substring,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Ancestralidade,,False,,,
,project,,,False,A project object within Gramps,,
,Repository,,,False,,,
,Person,,,False,"A ""person"" record within Gramps",,
