location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,navedba,,False,,,
,Gramps,,,False,,,
,place,kraj,,False,,,
,places,kraji,,False,,,
,Events,Dogodki,,False,,,
,bug,napaka,,False,,,
,Gramplet,Pripomoček,,False,,,
,debug,odpravljanje napak,,False,,,
,bugs,napake,,False,,,
,Default,Privzeto,,False,,,
,Default,Privzeto,,False,1,,
,border,rob,,False,,,
,Try to find,Poskušaj poiskati,,False,,,
,relation,sorodstvo,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,relativno izhodišče zunanjih predmetov,,False,,,
,Delimiter,Ločilo,,False,,,
,funeral,pogreb,,False,,,
,burial,pokop,,False,,,
,addon,dodatek,,False,,,
,plugin,vtičnik,,False,,,
,substring,podniz,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Predniki,,False,,,
,project,projekt,,False,A project object within Gramps,,
,Repository,Nahajališče,,False,,,
,Person,Oseba,,False,"A ""person"" record within Gramps",,
