location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,引用,,False,,,
,Gramps,,,False,,,
,place,地点,,False,,,
,places,地方,,False,,,
,Events,活动,,False,,,
,bug,漏洞,,False,,,
,Gramplet,爷爷,,False,,,
,debug,调试,,False,,,
,bugs,漏洞,,False,,,
,Default,默认,,False,,,
,Default,默认,,False,1,,
,border,边界,,False,,,
,Try to find,尝试查找,,False,,,
,relation,关系,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,基金会,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,基础相对媒体路径,,False,,,
,Delimiter,分隔符,,False,,,
,funeral,葬礼,,False,,,
,burial,埋葬,,False,,,
,addon,附件,,False,,,
,plugin,插件,,False,,,
,substring,子字符串,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,祖先,,False,,,
,Family Tree,家谱,,False,,,
,project,项目,,False,A project object within Gramps,,
,Repository,库,,False,,,
,Person,人员,,False,"A ""person"" record within Gramps",,
