location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Default,ნაგულისხმევი,,False,,,
,Stamen,მტვრიანა,,False,,,
,Gramplet,გრამპლეტი,,False,,,
,border,საზღვარი,,False,,,
,Ancestry,წარმომავლობა,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,Elul,Elul,,False,,,
,relation,ურთიერთობა,,False,,,
,Person,პიროვნება,,False,"A ""person"" record within Gramps",,
,place,ადგილი,,False,,,
,addon,დამატება,,False,,,
,debug,გამართვა,,False,,,
,burial,დაკრძალვა,,False,,,
,Delimiter,გამყოფი,,False,,,
,citation,ციტირება,,False,,,
,base relative media path,,,False,,,
,funeral,,,False,,,
,Tishri,,,False,,,
,places,,,False,,,
,bug,,,False,,,
,Events,,,False,,,
,bugs,,,False,,,
,substring,,,False,,,
,Gramps Web,,,False,,,
,plugin,,,False,,,
,Nisan,,,False,,,
,Gramps,,,False,,,
,Try to find,,,False,,,
,project,,,False,A project object within Gramps,,
