location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,citata,,False,,,
,Gramps,,,False,,,
,place,vietovė,,False,,,
,places,vietos,,False,,,
,Events,Įvykiai,,False,,,
,bug,klaida,,False,,,
,Gramplet,,,False,,,
,debug,derinimas,,False,,,
,bugs,klaidos,,False,,,
,Default,Numatytasis,,False,,,
,Default,Numatytas,,False,1,,
,border,rėmelis,,False,,,
,Try to find,Bandyti rasti,,False,,,
,relation,ryšys,,False,,,
,Gramps Web,,,False,,,
,REFN,,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,pagrindinis santykinis mediatekos kelias,,False,,,
,Delimiter,Skyriklis,,False,,,
,funeral,laidotuvės,,False,,,
,burial,laidojimas,,False,,,
,addon,,,False,,,
,plugin,,,False,,,
,substring,poeilutė,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Protėviai,,False,,,
,project,projektas,,False,A project object within Gramps,,
,Repository,Saugykla,,False,,,
,Person,Asmuo,,False,"A ""person"" record within Gramps",,
