location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Default,기본값,,False,,,
,Stamen,수술꽃,,False,,,
,Gramplet,그람플렛,,False,,,
,border,경계,,False,,,
,Ancestry,가계,,False,,,
,Repository,저장소,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,Elul,엘룰,,False,,,
,relation,관계,,False,,,
,Person,인물,,False,"A ""person"" record within Gramps",,
,place,장소,,False,,,
,addon,추가물,,False,,,
,debug,수정,,False,,,
,burial,매장,,False,,,
,Delimiter,구분 문자,,False,,,
,citation,인용,,False,,,
,base relative media path,기본 상대적인 매체 경로,,False,,,
,funeral,장례,,False,,,
,Tishri,티슈리,,False,,,
,places,장소,,False,,,
,bug,오류,,False,,,
,Events,사건,,False,,,
,bugs,오류,,False,,,
,substring,하위문자열,,False,,,
,Gramps Web,그람프스 웹,,False,,,
,plugin,플러그인,,False,,,
,Nisan,니산월,,False,,,
,Gramps,그람프스,,False,,,
,Try to find,찾기,,False,,,
,project,프로젝트,,False,A project object within Gramps,,
,Default,기본값,,False,1,,
