location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,citering,,False,,,
,Gramps,Gramps,,False,,,
,place,plats,,False,,,
,places,platser,,False,,,
,Events,Händelser,,False,,,
,bug,programfel,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,felsöka,,False,,,
,bugs,programfel,,False,,,
,Default,Standard,,False,,,
,Default,Standard,,False,1,,
,border,gräns,,False,,,
,Try to find,Försöka hitta,,False,,,
,relation,relation,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,relativ mediasökväg,,False,,,
,Delimiter,Avgränsare,,False,,,
,funeral,jordfästning,,False,,,
,burial,begravning,,False,,,
,addon,tillägg,,False,,,
,plugin,insticksmodul,,False,,,
,substring,delsträng,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tischri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Anor,,False,,,
,project,projekt,,False,A project object within Gramps,,
,Repository,Arkivplats,,False,,,
,Person,Person,,False,"A ""person"" record within Gramps",,
