location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,lainaus,,False,,,
,Gramps,Gramps,,False,,,
,place,paikka,,False,,,
,places,paikkaa,,False,,,
,Events,Tapahtumat,,False,,,
,bug,vika,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,vianselvitys,,False,,,
,bugs,viat,,False,,,
,places,paikat,,False,2,,
,places,paikkaa,,False,1,,
,Default,Oletus,,False,,,
,Default,Oletus,,False,1,,
,border,reunus,,False,,,
,Try to find,Yrittää löytää,,False,,,
,Passover,Pääsiäinen,,False,,,"Pascua (en hebreo פסח, 'salto') es una festividad judía que conmemora la liberación del pueblo hebreo de la esclavitud de Egipto, relatada en el Pentateuco"
,Canada,Kanada,,False,,,
,France,Ranska,,False,,,
,Germany,Saksa,,False,,,
,Italy,Italia,,False,,,
,"Manage genealogical information, perform genealogical research and analysis","Hallinnoi sukutietoja, tee sukututkimusta ja analysoi sukutietoja. Hallitse sukututkimusta, suorita sukututkimusta ja -analyysiä",,False,,,
,Catalonia,Katalonia,,False,,,
,China,Kiina,,False,,,
,Croatia,Kroatia,,False,,,
,Finland,Suomi,,False,,,
,Japan,Japani,,False,,,
,Turkey,Turkki,,False,,,
,United States of America,Yhdysvallat,,False,,,
,Ukraine,Ukraina,,False,,,
,relation,suhde,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,perussuhteellinen mediapolku,,False,,,
,bugs,viat,,False,1,,
,places,paikat,,False,3,,
,Canada,Kanada,,False,1,,
,bug,vika,,False,1,,
,Chile,Chile,,False,,,
,China,Kiina,,False,1,,
,Purim,Purim,,False,,,
,Czech Republic,Tšekin tasavalta,,False,,,
,England,Yhdistynyt kuningaskunta,,False,,,
,Jewish Holidays,Juutalaiset juhlapyhät,,False,,,
,Russia,Venäjä,,False,,,
,Shavuot,Shavuot,,False,,,
,New Zealand,Uusi-Seelanti,,False,,,
,Sukot,Sukkot,,False,,,
,Hanuka,Hanukka,,False,,,
,Serbia,Serbia,,False,,,
,Slovakia,Slovakia,,False,,,
,Sweden,Ruotsi,,False,,,
,Gramps is a genealogy program that is both intuitive for hobbyists and feature-complete for professional genealogists.,"Gramps on sukututkimusohjelma, joka on sekä intuitiivinen harrastajille että täydellinen ammattimaisille sukututkijoille.",,False,,,
,Delimiter,Erotin,,False,,,
,funeral,hautajaiset,,False,,,
,burial,hautaus,,False,,,
,creamation,tuhkaus,,False,,,
,addon,lisäosa,,False,,,
,plugin,liitännäinen,,False,,,
,substring,alamerkkijono,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Esi-isät,,False,,,
,project,projekti,,False,A project object within Gramps,,
,Repository,Tietovarasto,,False,,,
,Person,henkilö,,False,"A ""person"" record within Gramps",,
,Great grandparents,iso isovanhemmat,,False,sukulaisuusraportti,,
,active person,aktiivihenkilö,,False,,,"Valittu henkilö, johon toiminto kohdistetaan"
,Keep,Säilytä,,False,,,
,Place title,paikan nimike,,False,,,
,search,etsi,,False,,,
,include,Näytetään,,False,,,Esitetäänkö tieto vai ei
,liste eclair,pikaluettelo,,False,,,
,Collapsible Tree,tiivistettävä puu,,False,D3Charts,,
,degrees of separation,sukupolviero,,False,,,
,options,valinnat,,False,,,Käyttäjän valintavaihtoehdot
,Ancestor,Esivanhempi,,False,,,
,related to,sukulainen,,False,,,
,central person,keskushenkilö,,False,,,Muu keskushenkilö kuin aktiivihenkilö
,Matches,osumaa,,False,,,
,Date Estimate,päivämääräarvio,,False,,,
,Include,Lisää,,False,,,
,media,mediatiedot,,False,,,Mediaobjekti (kuvan metatiedot)
,title,nimi,,False,place,,
,font size,kirjainkoko,,False,,,
,Birth label,Syntymätieto,,False,,,
,exclude,ohita,,False,,,
,death label,kuolintieto,,False,,,
,md5 hash,md5-tiiviste,,False,,,
,birth label,syntymätieto,,False,,,
,Home Person,kotihenkilö,,False,,,
,substring,osamerkkijono,,False,1,,
,Include,Sisällytä,,False,1,,
,configuration,määritykset,,False,,,
,color scheme,värivalikoima,,False,,,
,Association,liitos,,False,,,
,Include,Näytä,,False,2,,
,attribute,ominaisuudet,,False,,Miksi 'ominaisuudet' on kielletty? DenominoVisossa on paljon tarvittu,
,Associations,Suhteet,,False,,,
,association,liitos,,False,,,Onko oikein?
,HTML-wrapper file,html-kuoritiedosto,,False,,,
,pruning,rajaus,,False,Sukupuun rajaaminen katkaisemalla?,,
,note,lisätieto,,False,,,
,index,hakemisto,,False,,,
,Farm Schedule,Maatilasuunnitelma,,False,,,
,notes,lisätiedot,,False,,,
,Repository,Arkisto,,False,1,,
,Volume,Vuosikerta,,False,,,
,attributes,ominaisuudet,,False,,,
,attributes,ominaisuuksia,,False,1,,
,filter,suodin,,False,,,
,DenominoViso,,,False,,,
,Index of Dates,Päiväyshakemisto,,False,,,
,SpaceTree,tilaa säästävä sukupuu,,False,,,
,Deterministic ID,Deterministinen ID,,False,,,
,object,kohde,,False,,,
,Space Tree,Avaruuspuu,,False,,,
,Matches ,Vastaa,,False,,,
,Matches,Löytää,,False,2,,
,Enable,Hyödynnä,,False,,,
,link,yhteys,,False,,,
,title,nimike,,False,,,
,report,luettelo,,False,,,
,report,näytä,,False,1,,
,marriage act,avioliittotodistus,,False,,,
,banns,kuulutukset,,False,,,
,county,maakunta,,False,,,
,names,nimikkeitä,,False,,,
,Place titles,paikkojen nimikkeitä,,False,,,
,title,puhuttelusana,,False,henkilötiedot,,
,Compress,Tiivistä,,False,Kaavioesitys,,
,pedigree collapse,esivanhempien menetys,,False,,,
,creamation,tuhkaus,,False,1,,
,7. Sex: Male,7. Sukupuoli: Mies,,False,,,
,8. Sex: Female,8. Sukupuoli: Nainen,,False,,,
,MaritalStatus,Siviilisääty,,False,,,
,lists,näytä,,False,,,
,CartoDB,,,False,,,
,Stamen,,,False,1,,
,custom,toivottu,,False,,,
,heatmap,Lämpökartta,,False,heatmap,,
,downloaded,tuotiin,,False,,,
,Downloading,Tuodaan Grampsista,,False,,,
,Coloured Persons,Rodullistettuja,,False,,,
,ChatWithTree,PuhuPuulle,,False,,,
